run_id,rq,phase,task,tier,dataset,budget,generator,generation_id,model,ratio,allocation,reweight,training_seed,selection_seed,status,wall_seconds,peak_gpu_gb,primary_metric,primary_value
cifar100_shot5_seed0_swin_t_cutmix_seed3,RQ4,1,classification,A,cifar100,5-shot,cutmix,,swin_t,0,,False,3,0,planned,,,,
cifar100_shot5_seed0_swin_t_cutmix_seed4,RQ4,1,classification,A,cifar100,5-shot,cutmix,,swin_t,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_resnet50_none_seed0,RQ2,1,classification,A,cifar100,10-shot,none,,resnet50,0,,False,0,0,done,128.26,0.984,top1,0.1356
cifar100_shot10_seed0_resnet50_none_seed1,RQ2,1,classification,A,cifar100,10-shot,none,,resnet50,0,,False,1,0,done,127.86,0.984,top1,0.1349
cifar100_shot10_seed0_resnet50_none_seed2,RQ2,1,classification,A,cifar100,10-shot,none,,resnet50,0,,False,2,0,done,127.9,0.984,top1,0.1357
cifar100_shot10_seed0_resnet50_none_seed3,RQ2,1,classification,A,cifar100,10-shot,none,,resnet50,0,,False,3,0,done,128.08,0.984,top1,0.1342
cifar100_shot10_seed0_resnet50_none_seed4,RQ2,1,classification,A,cifar100,10-shot,none,,resnet50,0,,False,4,0,done,128.11,0.984,top1,0.1341
cifar100_shot10_seed0_resnet50_randaugment_seed0,RQ4,1,classification,A,cifar100,10-shot,randaugment,,resnet50,0,,False,0,0,done,150.35,0.984,top1,0.163
cifar100_shot10_seed0_resnet50_randaugment_seed1,RQ4,1,classification,A,cifar100,10-shot,randaugment,,resnet50,0,,False,1,0,done,150.7,0.984,top1,0.1562
cifar100_shot10_seed0_resnet50_randaugment_seed2,RQ4,1,classification,A,cifar100,10-shot,randaugment,,resnet50,0,,False,2,0,done,150.48,0.984,top1,0.1644
cifar100_shot10_seed0_resnet50_randaugment_seed3,RQ4,1,classification,A,cifar100,10-shot,randaugment,,resnet50,0,,False,3,0,done,149.98,0.984,top1,0.163
cifar100_shot10_seed0_resnet50_randaugment_seed4,RQ4,1,classification,A,cifar100,10-shot,randaugment,,resnet50,0,,False,4,0,done,150.72,0.984,top1,0.1559
cifar100_shot10_seed0_resnet50_mixup_seed0,RQ4,1,classification,A,cifar100,10-shot,mixup,,resnet50,0,,False,0,0,done,129.76,0.983,top1,0.1667
