run_id,rq,phase,task,tier,dataset,budget,generator,generation_id,model,ratio,allocation,reweight,training_seed,selection_seed,status,wall_seconds,peak_gpu_gb,primary_metric,primary_value
cifar100_shot10_seed0_vit_b16_randaugment_seed1,RQ4,1,classification,A,cifar100,10-shot,randaugment,,vit_b16,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_vit_b16_randaugment_seed2,RQ4,1,classification,A,cifar100,10-shot,randaugment,,vit_b16,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_vit_b16_randaugment_seed3,RQ4,1,classification,A,cifar100,10-shot,randaugment,,vit_b16,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_vit_b16_randaugment_seed4,RQ4,1,classification,A,cifar100,10-shot,randaugment,,vit_b16,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_vit_b16_mixup_seed0,RQ4,1,classification,A,cifar100,10-shot,mixup,,vit_b16,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_vit_b16_mixup_seed1,RQ4,1,classification,A,cifar100,10-shot,mixup,,vit_b16,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_vit_b16_mixup_seed2,RQ4,1,classification,A,cifar100,10-shot,mixup,,vit_b16,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_vit_b16_mixup_seed3,RQ4,1,classification,A,cifar100,10-shot,mixup,,vit_b16,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_vit_b16_mixup_seed4,RQ4,1,classification,A,cifar100,10-shot,mixup,,vit_b16,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_vit_b16_cutmix_seed0,RQ4,1,classification,A,cifar100,10-shot,cutmix,,vit_b16,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_vit_b16_cutmix_seed1,RQ4,1,classification,A,cifar100,10-shot,cutmix,,vit_b16,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_vit_b16_cutmix_seed2,RQ4,1,classification,A,cifar100,10-shot,cutmix,,vit_b16,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_vit_b16_cutmix_seed3,RQ4,1,classification,A,cifar100,10-shot,cutmix,,vit_b16,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_vit_b16_cutmix_seed4,RQ4,1,classification,A,cifar100,10-shot,cutmix,,vit_b16,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_swin_t_none_seed0,RQ2,1,classification,A,cifar100,10-shot,none,,swin_t,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_swin_t_none_seed1,RQ2,1,classification,A,cifar100,10-shot,none,,swin_t,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_swin_t_none_seed2,RQ2,1,classification,A,cifar100,10-shot,none,,swin_t,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_swin_t_none_seed3,RQ2,1,classification,A,cifar100,10-shot,none,,swin_t,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_swin_t_none_seed4,RQ2,1,classification,A,cifar100,10-shot,none,,swin_t,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_swin_t_randaugment_seed0,RQ4,1,classification,A,cifar100,10-shot,randaugment,,swin_t,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_swin_t_randaugment_seed1,RQ4,1,classification,A,cifar100,10-shot,randaugment,,swin_t,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_swin_t_randaugment_seed2,RQ4,1,classification,A,cifar100,10-shot,randaugment,,swin_t,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_swin_t_randaugment_seed3,RQ4,1,classification,A,cifar100,10-shot,randaugment,,swin_t,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_swin_t_randaugment_seed4,RQ4,1,classification,A,cifar100,10-shot,randaugment,,swin_t,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_swin_t_mixup_seed0,RQ4,1,classification,A,cifar100,10-shot,mixup,,swin_t,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_swin_t_mixup_seed1,RQ4,1,classification,A,cifar100,10-shot,mixup,,swin_t,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_swin_t_mixup_seed2,RQ4,1,classification,A,cifar100,10-shot,mixup,,swin_t,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_swin_t_mixup_seed3,RQ4,1,classification,A,cifar100,10-shot,mixup,,swin_t,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_swin_t_mixup_seed4,RQ4,1,classification,A,cifar100,10-shot,mixup,,swin_t,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_swin_t_cutmix_seed0,RQ4,1,classification,A,cifar100,10-shot,cutmix,,swin_t,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_swin_t_cutmix_seed1,RQ4,1,classification,A,cifar100,10-shot,cutmix,,swin_t,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_swin_t_cutmix_seed2,RQ4,1,classification,A,cifar100,10-shot,cutmix,,swin_t,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_swin_t_cutmix_seed3,RQ4,1,classification,A,cifar100,10-shot,cutmix,,swin_t,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_swin_t_cutmix_seed4,RQ4,1,classification,A,cifar100,10-shot,cutmix,,swin_t,0,,False,4,0,planned,,,,
cifar100_shot20_seed0_resnet50_none_seed0,RQ2,1,classification,A,cifar100,20-shot,none,,resnet50,0,,False,0,0,planned,,,,
cifar100_shot20_seed0_resnet50_none_seed1,RQ2,1,classification,A,cifar100,20-shot,none,,resnet50,0,,False,1,0,planned,,,,
cifar100_shot20_seed0_resnet50_none_seed2,RQ2,1,classification,A,cifar100,20-shot,none,,resnet50,0,,False,2,0,planned,,,,
cifar100_shot20_seed0_resnet50_none_seed3,RQ2,1,classification,A,cifar100,20-shot,none,,resnet50,0,,False,3,0,planned,,,,
cifar100_shot20_seed0_resnet50_none_seed4,RQ2,1,classification,A,cifar100,20-shot,none,,resnet50,0,,False,4,0,planned,,,,
cifar100_shot20_seed0_resnet50_randaugment_seed0,RQ4,1,classification,A,cifar100,20-shot,randaugment,,resnet50,0,,False,0,0,planned,,,,
cifar100_shot20_seed0_resnet50_randaugment_seed1,RQ4,1,classification,A,cifar100,20-shot,randaugment,,resnet50,0,,False,1,0,planned,,,,
cifar100_shot20_seed0_resnet50_randaugment_seed2,RQ4,1,classification,A,cifar100,20-shot,randaugment,,resnet50,0,,False,2,0,planned,,,,
cifar100_shot20_seed0_resnet50_randaugment_seed3,RQ4,1,classification,A,cifar100,20-shot,randaugment,,resnet50,0,,False,3,0,planned,,,,
cifar100_shot20_seed0_resnet50_randaugment_seed4,RQ4,1,classification,A,cifar100,20-shot,randaugment,,resnet50,0,,False,4,0,planned,,,,
cifar100_shot20_seed0_resnet50_mixup_seed0,RQ4,1,classification,A,cifar100,20-shot,mixup,,resnet50,0,,False,0,0,planned,,,,
cifar100_shot20_seed0_resnet50_mixup_seed1,RQ4,1,classification,A,cifar100,20-shot,mixup,,resnet50,0,,False,1,0,planned,,,,
cifar100_shot20_seed0_resnet50_mixup_seed2,RQ4,1,classification,A,cifar100,20-shot,mixup,,resnet50,0,,False,2,0,planned,,,,
cifar100_shot20_seed0_resnet50_mixup_seed3,RQ4,1,classification,A,cifar100,20-shot,mixup,,resnet50,0,,False,3,0,planned,,,,
cifar100_shot20_seed0_resnet50_mixup_seed4,RQ4,1,classification,A,cifar100,20-shot,mixup,,resnet50,0,,False,4,0,planned,,,,
